timestamp,block_id,phase_label,l_abd,l_flex,l_er,r_abd,r_flex,r_er
1761183260.84462,4,flex_down,161.51191773853225,-68.15951377093751,16.596787992063287,179.5999615568702,-75.46568523233113,-46.954089719118976
1761183260.977851,4,flex_down,161.75412875649127,-68.12270193152852,16.578713450933158,179.73288679013646,-75.12201776319263,0.0
1761183261.112397,4,flex_down,161.83927309818276,-68.21099228586813,0.0,179.91714362933072,-75.23349929732696,0.0
1761183261.244977,4,flex_down,162.3509974889733,-68.2050564814736,0.0,-179.64229567935126,-74.92957864550773,0.0
1761183261.3791602,4,flex_down,162.33013855473567,-67.90650518868463,0.0,-179.89566035015682,-74.94475768899017,0.0
1761183261.515872,4,flex_down,162.44769334504565,-67.92958408383797,16.262082690826574,-179.8022682964295,-74.65444191995202,-20.374499033489037
1761183261.6458151,4,flex_down,162.6858053024258,-67.9815123884874,16.322872752347887,-179.58889570520614,-74.432895083221,0.0
1761183261.774921,4,flex_down,162.7928442795036,-68.4083658440282,16.749414410390642,-179.2000925357824,-74.51450929324925,0.0
1761183261.911453,4,flex_down,162.71017967288324,-68.4550044692472,16.88575785859421,-179.25669761606633,-74.76270429919255,0.0
1761183262.039636,4,flex_down,162.87253963113653,-68.73729927384244,17.167770004093278,-178.87944364283075,-74.77629293207704,0.0
1761183262.178505,4,flex_down,162.7716416857894,-68.65958204712977,0.0,-179.00063721666015,-75.0569925525655,-27.826755267287577
1761183262.313283,4,flex_down,162.8852582285935,-68.62120011974204,0.0,-178.87014648807158,-75.04835174141715,0.0
1761183262.4430988,4,flex_down,163.1413158972673,-68.37928593771275,0.0,-178.62289074885263,-75.46462743727618,0.0
1761183262.57686,4,flex_down,163.53741160104366,-67.94074203237541,0.0,-178.4781619210922,-75.50791084129402,0.0
1761183262.710737,4,flex_down,163.7085997704728,-67.75455813793258,15.912184102668887,-178.32872455665444,-75.671682306924,0.0
1761183262.8439941,4,flex_down,163.04371117609486,-67.96133048967657,0.0,-178.80058279595312,-75.66490771703218,-65.5738783168779
1761183262.978127,4,flex_down,163.15426184613483,-68.05346946887012,0.0,-178.74317600997898,-74.85777061463659,0.0
1761183263.111776,4,flex_down,163.67782128590153,-67.98989929856789,0.0,-178.23310283266937,-74.8253312699558,0.0
1761183263.245564,4,flex_down,163.61746897525526,-68.00719597683464,0.0,-178.282361175395,-74.77171546780444,0.0
1761183263.37792,4,flex_down,162.6838271123782,-67.74267628958276,0.0,-179.1830851254084,-75.50622935337748,0.0
1761183263.511627,4,flex_down,162.3808302458806,-67.79011935206923,0.0,-179.4556546936325,-75.42660858286739,0.0
1761183263.644047,4,flex_down,162.70014609292937,-67.7678268722077,0.0,-179.23979186803976,-75.20876391747727,0.0
1761183263.7796218,4,flex_down,163.45732265692237,-67.94005969548836,15.61472850069644,-178.33582994753925,-75.34706793605537,-40.308868305168964
1761183263.912003,4,flex_down,163.4427565448332,-68.2780529481865,0.0,-178.24439839895896,-75.37878385154741,-41.61433025431277
1761183264.046348,4,flex_down,163.35036772013527,-68.33835346121236,16.39386169831794,-178.49059110643276,-75.04918911371469,0.0
1761183264.177887,4,flex_down,163.3143692921332,-68.6907879538238,0.0,-178.41915079814382,-74.65270782263987,0.0
1761183269.445368,5,flex_front,-23.13723199128707,-5.988119286163617,0.0,-31.18535408407068,-3.878092125685586,0.0
1761183269.581232,5,flex_front,-23.493359672677776,-5.975035840321091,-51.76253594334053,-31.647737901908638,-4.032095412493975,-103.4117761240258
1761183269.7122612,5,flex_front,-24.996404700148886,-6.089729780198584,0.0,-33.381508054804286,-4.137374049533528,107.4698642834839
1761183269.845956,5,flex_front,-25.688496167943093,-6.084128153767038,-50.04964572390045,-34.064662460584344,-4.168678115228768,106.46678633268748
1761183269.979684,5,flex_front,-25.51375695176141,-5.941755525805221,0.0,-33.79382890938383,-4.24182565194268,0.0
1761183270.1113222,5,flex_front,-25.942189541315027,-5.801120294232363,0.0,-34.20698107010772,-4.114090341680332,0.0
1761183270.2452962,5,flex_front,-26.82213394483772,-5.7870978276453,-43.08657390874322,-35.19285236277625,-4.110846398067911,97.09960525546413
1761183270.3777668,5,flex_front,-27.010443138715225,-5.664233926367931,-140.11927908914922,-35.3888269049873,-4.168655975843276,0.0
1761183270.5126011,5,flex_front,-26.94342448239443,-5.609760071983358,0.0,-35.37060388892219,-4.2532440577438875,0.0
1761183270.64544,5,flex_front,-26.08025417758304,-5.582353618442704,0.0,-34.563916452659015,-4.345193972368811,0.0
1761183270.778775,5,flex_front,-26.11034104846499,-5.564996699382587,0.0,-34.5903780364336,-4.357834026567014,0.0
1761183270.9133599,5,flex_front,-25.29998001959321,-5.488088002270775,0.0,-33.71450563380581,-4.322903580441747,0.0
1761183271.042746,5,flex_front,-24.281138873147153,-5.447262220903453,-132.1476659114901,-32.635050930317,-4.384214475181086,91.08011532603027
1761183271.1813319,5,flex_front,-24.764400942192704,-5.440057322212102,-131.0595976534538,-33.134776454100745,-4.415304902649018,0.0
1761183271.314118,5,flex_front,-23.62989788767924,-5.414159050775848,0.0,-31.96265642753709,-4.386816642506813,-84.95636550436821
1761183271.4439921,5,flex_front,-24.217295290640465,-5.4367438383796465,-130.2519965906319,-32.57841297660786,-4.395730041763047,0.0
1761183271.58068,5,flex_front,-23.388649936208395,-5.25727179695562,0.0,-31.637477182654123,-4.036040165866605,0.0
1761183271.714099,5,flex_front,-21.845447957455175,-5.185861885017819,0.0,-30.139894689070864,-3.993991946400453,0.0
1761183271.844933,5,flex_front,-22.133736466874755,-5.1064801955597146,0.0,-30.420561197997667,-4.020296496319599,58.95546734760366
1761183271.98107,5,flex_front,-19.968873192991907,-4.779577916834419,0.0,-28.01611145291295,-3.8754296810271622,0.0
1761183272.120903,5,flex_front,-20.551923046156904,-4.69862181072843,102.5682279036472,-28.682220753041953,-3.8384480201107594,0.0
1761183272.244713,5,flex_front,-20.835461598256707,-4.535285338070665,0.0,-28.995396045922327,-3.7857898880309055,0.0
1761183272.379723,5,flex_front,-20.657980043402443,-4.393821748753137,-97.5855590650437,-28.876479802793465,-3.6797941238848733,0.0
1761183272.511947,5,flex_front,-20.642857522290097,-4.3273779350722075,0.0,-28.92159776127838,-3.552931998495994,135.3701016240045
1761183272.647362,5,flex_front,-20.4746961135181,-4.237214988939744,0.0,-28.87568951887019,-3.496967670304782,0.0
1761183272.7789938,5,flex_front,-20.287922663752948,-4.139591992488348,0.0,-28.830657029986035,-3.4119877194527515,132.78580174532348
1761183272.914192,5,flex_front,-20.7015589423861,-3.993664506046509,0.0,-29.29242874696964,-3.251184563213425,125.96536637617336
1761183273.045469,5,flex_front,-21.37430192462885,-3.731105609047977,-72.42207078693852,-29.944734381164942,-3.1009668739706933,0.0
1761183273.1821818,5,flex_front,-21.685591156985797,-3.5591517709206717,0.0,-30.24138069695535,-3.013759988077673,0.0
1761183273.313345,5,flex_front,-22.497879778520154,-3.4388721219012126,0.0,-31.072538592530822,-2.874704649529636,98.30277808657469
